                                                      Productions          |   program                                                                 |   put                                                                     |   EPSILON                                                                 |   else                                                                    |   leq                                                                     |   id                                                                      |   if                                                                      |   (                                                                       |   )                                                                       |   *                                                                       |   then                                                                    |   +                                                                       |   ,                                                                       |   -                                                                       |   .                                                                       |   /                                                                       |   :                                                                       |   ;                                                                       |   =                                                                       |   floatNum                                                                |   geq                                                                     |   get                                                                     |   [                                                                       |   ]                                                                       |   sr                                                                      |   intNum                                                                  |   {                                                                       |   }                                                                       |   return                                                                  |   lt                                                                      |   float                                                                   |   neq                                                                     |   eq                                                                      |   for                                                                     |   not                                                                     |   and                                                                     |   class                                                                   |   or                                                                      |   gt                                                                      |   int                                                                     |

                                                      vadrsType01          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   vadrsType01 => [id, arraySizeRepeat, ;, varDeclRepeatStatementRepeat]          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                      vadrsType02          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   vadrsType02 => [functionCall, ., id, vadrsType0Statement]               |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                         vadrsType0VariableFactor          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   vadrsType0VariableFactor => [., id, vadrsType0Statement]                |                                                                           |                                                                           |                                                                           |   vadrsType0VariableFactor => [assignOp, expr, ;, statementRepeat]          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                      vadrsType03          |                                                                           |                                                                           |   vadrsType03 => [variable, vadrsType0VariableFactor]                     |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   vadrsType03 => [variable, vadrsType0VariableFactor]                     |                                                                           |                                                                           |                                                                           |   vadrsType03 => [variable, vadrsType0VariableFactor]                     |                                                                           |                                                                           |                                                                           |   vadrsType03 => [variable, vadrsType0VariableFactor]                     |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                    varDeclRepeat          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   varDeclRepeat => [typeId, varDecl]                                      |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   varDeclRepeat => [typeId, varDecl]                                      |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   varDeclRepeat => [typeId, varDecl]                                      |

                                                    funcDefRepeat          |   funcDefRepeat => [EPSILON]                                              |                                                                           |                                                                           |                                                                           |                                                                           |   funcDefRepeat => [funcDef, funcDefRepeat]                               |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcDefRepeat => [funcDef, funcDefRepeat]                               |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcDefRepeat => [funcDef, funcDefRepeat]                               |

                                                aParamsTailRepeat          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   aParamsTailRepeat => [EPSILON]                                          |                                                                           |                                                                           |                                                                           |   aParamsTailRepeat => [aParamsTail, aParamsTailRepeat]                   |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                        vadrsType          |                                                                           |   vadrsType => [vadrsTypeStatement, statementRepeat]                      |                                                                           |                                                                           |                                                                           |   vadrsType => [id, vadrsType0]                                           |   vadrsType => [vadrsTypeStatement, statementRepeat]                      |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   vadrsType => [vadrsTypeStatement, statementRepeat]                      |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   vadrsType => [vadrsTypeStatement, statementRepeat]                      |                                                                           |   vadrsType => [float, id, arraySizeRepeat, ;, varDeclRepeatStatementRepeat]          |                                                                           |                                                                           |   vadrsType => [vadrsTypeStatement, statementRepeat]                      |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   vadrsType => [int, id, arraySizeRepeat, ;, varDeclRepeatStatementRepeat]          |

                                                           indice          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   indice => [[, arithExpr, ]]                                             |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                        classDecl          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   classDecl => [class, id, classDeclOption, {, varDeclfuncDecl, }, ;]          |                                                                           |                                                                           |                                                                           |

                                                   funcDeclRepeat          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcDeclRepeat => [typeId, funcDecl]                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcDeclRepeat => [EPSILON]                                             |                                                                           |                                                                           |   funcDeclRepeat => [typeId, funcDecl]                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcDeclRepeat => [typeId, funcDecl]                                    |

                                                            relOp          |                                                                           |                                                                           |                                                                           |                                                                           |   relOp => [leq]                                                          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   relOp => [geq]                                                          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   relOp => [lt]                                                           |                                                                           |   relOp => [neq]                                                          |   relOp => [eq]                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   relOp => [gt]                                                           |                                                                           |

                                                         funcDecl          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcDecl => [(, fParams, ), ;, funcDeclRepeat]                          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                     functionCall          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   functionCall => [(, aParams, )]                                         |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                           typeId          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   typeId => [id, id]                                                      |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   typeId => [float, id]                                                   |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   typeId => [int, id]                                                     |
